genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
Action,assassin based on video game aftercreditsstinger,en,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.","Dune Entertainment, Firm Films, Collision Entertainment, Abandon Entertainment, Foxtor Productions, Depth Entertainment",100,Max Payne,"Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris Chris, O'Donnell",John Moore
"Science Fiction, Thriller, Action",bank future time dystopia race against time,en,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.","Regency Enterprises, Strike Entertainment, New Regency Pictures",109,In Time,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde, Alex Pettyfer",Andrew Niccol
"Romance, Comedy",kiss sperm bank romantic comedy male female relationship doctor,en,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other.","Escape Artists, CBS Films",106,The Back-Up Plan,"Jennifer Lopez, Alex O'Loughlin, Danneel Ackles, Eric Christian, Olsen Anthony, Anderson",Alan Poul
"Romance, Comedy, Drama",new york alcohol based on novel secret cheating,en,"Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan (John Krasinski), Rachel's confidant, harbors a potentially explosive secret of his own.","Alcon Entertainment, Wild Ocean Films, 2S Films",112,Something Borrowed,"Kate Hudson, Ginnifer Goodwin, John Krasinski, Colin Egglesfield, Ashley Williams",Luke Greenfield
"Drama, War",individual resistance radio station war crimes loss of family,en,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,"Bac Films, Canal+Polska, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej, Beverly Detroit, FilmFernsehFonds Bayern, Filmboard Berlin-Brandenburg (FBB), Mainstream S.A., R.P. Productions, StudioCanal, Filmförderungsanstalt (FFA), Canal+, Interscope Communications, Telewizja Polska (TVP), Runteam",150,The Pianist,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox",Roman Polanski
"History, Crime, Drama",biography historical figure fbi director,en,"As the face of law enforcement in America for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career and his life.","Imagine Entertainment, Malpaso Productions, Wintergreen Productions",137,J. Edgar,"Leonardo DiCaprio, Josh Hamilton, Geoff Pierson, Armie Hammer, Naomi Watts",Clint Eastwood
Drama,suicide fbi kidnapping snuff sadism,en,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.","Lakeshore Entertainment, Cohen/Pearl Productions, Screen Gems",101,Untraceable,"Diane Lane, Billy Burke, Colin Hanks, Joseph Cross, Mary Beth, Hurt",Gregory Hoblit
"Fantasy, Comedy",nanny fantasy children aftercreditsstinger duringcreditsstinger,en,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.","Universal Pictures, Three Strange Angels, Studio Canal, Relativity Media, Working Title Films",109,Nanny McPhee and the Big Bang,"Emma Thompson, Asa Butterfield, Ralph Fiennes, Maggie Gyllenhaal, Maggie Smith",Susanna White
"Fantasy, Comedy, Family",elves based on novel magic fairy prince,en,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.","World 2000 Entertainment, Enchanted Productions",96,Ella Enchanted,"Anne Hathaway, Hugh Dancy, Cary Elwes, Vivica A., Fox Joanna, Lumley",Tommy O'Haver
Drama,american football concussion biography professional sports brain damage,en,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.","Columbia Pictures, Village Roadshow Pictures, Scott Free Productions, LStar Capital, The Cantillon Company, The Shuman Company",123,Concussion,"Will Smith, Alec Baldwin, Albert Brooks, Gugu Mbatha-Raw, David Morse",Peter Landesman
"Thriller, Mystery, Action",cia airport hero fight kidnapping,en,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,"Lions Gate Films, Vertigo Entertainment, Gotham Group, Tailor Made, Mango Farms, Quick Six Entertainment",106,Abduction,"Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello",John Singleton
"Thriller, Crime, Drama",mayor investigation politics ex-cop revenge,en,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.","Regency Enterprises, Inferno International, 1984 Private Defense Contractors, Closest to the Hole Productions, New Regency Pictures, Emmett/Furla Films, Envision Entertainment Corporation, Black Bear Pictures, Leverage Communications",109,Broken City,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper",Allen Hughes
"Thriller, Action, Crime",new york dirty cop bicycle courier duringcreditsstinger race against the clock,en,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",Pariah Entertainment Group,91,Premium Rush,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Jamie Chung, Wolé Parks",David Koepp
Comedy,bear animal aftercreditsstinger duringcreditsstinger real estate,en,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?","Summit Entertainment, Robert Simonds Productions, Participant Media, Imagenation Abu Dhabi FZ, Furry Vengeance Productions",92,Furry Vengeance,"Brendan Fraser, Ken Jeong, Brooke Shields, Angela Kinsey, Rob Riggle",Roger Kumble
"Comedy, Music",music record rock and roll pop hip-hop fab four,en,Singer Dewey Cox overcomes adversity to become a musical legend.,"Columbia Pictures Corporation, Apatow Productions",96,Walk Hard: The Dewey Cox Story,"John C., Reilly Jenna, Fischer Tim, Meadows Kristen, Wiig Raymond, J. Barry",Jake Kasdan
"History, Romance, Drama",royal family biography royalty period drama queen victoria,en,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.”",GK Films,105,The Young Victoria,"Emily Blunt, Jim Broadbent, Mark Strong, Paul Bettany, Miranda Richardson",Jean-Marc Vall\u00e9e
"Thriller, Mystery, Action, Crime",airplane based on comic book corpse stich,en,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.","StudioCanal, Dark Castle Entertainment, Don Carmody Productions, Warner Bros., Canadian Film or Video Production Tax Credit (CPTC), Ontario Media Development Corporation (OMDC), Manitoba Film and Video Production Tax Credit, McMurdo (Canada) Productions",101,Whiteout,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short, Shawn Doyle",Dominic Sena
"Fantasy, Drama",philosophy father son relationship red hair brother sister relationship sun,en,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.","Fox Searchlight Pictures, Plan B Entertainment, River Road Entertainment",139,The Tree of Life,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken, Finnegan Williams",Terrence Malick
"Action, Crime",broken neck fbi agent wall safe trashed house aerial shot,en,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.","Lionsgate, MHF Zweite Academy Film, Marvel Knights, Valhalla Motion Pictures, SGF Entertainment, Muse Entertainment",102,Punisher: War Zone,"Ray Stevenson, Dominic West, Julie Benz, Colin Salmon, Doug Hutchison",Lexi Alexander
"Adventure, Thriller, Drama",1970s skyscraper based on true story tightrope planning,en,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,"TriStar Pictures, Sony Pictures Entertainment, ImageMovers",123,The Walk,"Joseph Gordon-Levitt, Ben Kingsley, Charlotte Le, Bon Ben, Schwartz James, Badge Dale",Robert Zemeckis
"Science Fiction, Thriller, Mystery, Action",based on novel maze post-apocalyptic dystopia escape,en,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","Ingenious Media, Twentieth Century Fox Film Corporation, Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment",113,The Maze Runner,"Dylan O'Brien, Ki Hong, Lee Kaya, Scodelario Aml, Ameen Blake, Cooper",Wes Ball
"Science Fiction, Adventure, Romance, Drama",brain tumor operation queen love of one's life surgeon,en,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.","Regency Enterprises, Warner Bros., Muse Entertainment Enterprises, Protozoa Pictures, New Regency Pictures",96,The Fountain,"Hugh Jackman, Rachel Weisz, Ellen Burstyn, Mark Margolis, Stephen McHattie",Darren Aronofsky
Drama,suicide underdog suspicion of murder court case navy,en,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",David Brown Productions,138,A Few Good Men,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kevin Pollak",Rob Reiner
"Thriller, Action, Crime",corruption scandal shadowing police,en,"Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.","Village Roadshow Pictures, NPV Entertainment, Warner Bros.",101,Exit Wounds,"Steven Seagal, DMX Isaiah, Washington Anthony, Anderson Bill, Duke",Andrzej Bartkowiak
"Adventure, Animation, Fantasy, Family",magic 3d,en,"Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.","StudioCanal, nWave Pictures, Illuminata Pictures, Shout! Factory",85,Thunder and the House of Magic,"Brianne Siddall, Joey Camen, Elisa Gabrielli, Robin Atkin, Downes Shanelle, Workman",Ben Stassen
"Science Fiction, Thriller, Action, Horror",alien invasion american abroad moscow unlikely heroes failed business,en,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.","Summit Entertainment, Regency Enterprises, Bazelevs Production, The Jacobson Company, New Regency Pictures",89,The Darkest Hour,"Emile Hirsch, Rachael Taylor, Olivia Thirlby, Joel Kinnaman, Max Minghella",Chris Gorak
"Action, Crime, Drama",chain submachine gun undercover smuggling twin brother,en,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.","Lions Gate Films, VIP 3 Medienfonds, Valhalla Motion Pictures, Marvel Enterprises, VIP 2 Medienfonds",124,The Punisher,"Thomas Jane, John Travolta, Will Patton, Roy Scheider, Laura Harring",Jonathan Hensleigh
"Thriller, Action, Crime",broken trachea,en,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","Lawrence Bender Productions, IM Global, Automatik Entertainment, Trigger Street Productions, 87Eleven",94,Safe,"Jason Statham, Chris Sarandon, James Hong, Catherine Chan, Robert John, Burke",Boaz Yakin
"Science Fiction, Adventure, Action",rebel brother sister relationship emperor space battle matter of life and death,en,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.","Lucasfilm, Twentieth Century Fox Film Corporation",135,Return of the Jedi,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee, Williams Anthony, Daniels",Richard Marquand
Comedy,hippie commune nudism nude protest aftercreditsstinger,en,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.","Relativity Media, Apatow Productions, A Hot Dog",98,Wanderlust,"Paul Rudd, Jennifer Aniston, Justin Theroux, Malin Åkerman, Lauren Ambrose",David Wain
"Comedy, Family",nun sport orphanage ordensbruder ringer,en,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White.","Paramount Pictures, Nickelodeon Movies, Black & White Productions",92,Nacho Libre,"Jack Black, Ana de, la Reguera, Héctor Jiménez, Darius Rose, Moisés Arias",Jared Hess
"Romance, Comedy",competition jealousy fight materialism bridesmaid,en,"Annie’s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian’s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.","Universal Pictures, Relativity Media, Apatow Productions",125,Bridesmaids,"Kristen Wiig, Rose Byrne, Maya Rudolph, Wendi McLendon-Covey, Ellie Kemper",Paul Feig
"Action, Comedy",rape monster panic friendship celebrity,en,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","Columbia Pictures, Mandate Pictures, Sony Pictures Entertainment (SPE), Point Grey Pictures",107,This Is the End,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride",Seth Rogen
"Thriller, Action, Crime, Drama",heist,en,"A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse Attica (Chris Brown) successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals.",Rainforest Films,107,Takers,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy, Idris Elba",John Luessenhop
"Action, Comedy, Crime",undercover fbi sequel comedy disguise,en,"FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them.","Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, The Collective Studios, Runteldat Entertainment, Friendly Films (II), Friendly Films Productions",107,"Big Mommas: Like Father, Like Son","Martin Lawrence, Brandon T., Jackson Portia, Doubleday Mari, Morrow Faizon, Love",John Whitesell
"Science Fiction, Thriller, Mystery",bomb identity fantasy bomber suspicion,en,"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?","The Mark Gordon Company, Vendome Pictures",93,Source Code,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Russell Peters, Michael Arden",Duncan Jones
"Thriller, Mystery, Drama",suicide based on novel hotel room obsession sadomasochism,en,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.","New Line Cinema, Contrafilm, Firm Films",101,The Number 23,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston, Lynn Collins",Joel Schumacher
"Science Fiction, Thriller, Action, Crime",dystopia evil corporation repo man aftercreditsstinger,en,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.","Universal Pictures, Stuber Productions, Dentsu, Relativity Media",111,Repo Men,"Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van, Houten",Miguel Sapochnik
"Mystery, Romance, Crime, Drama, War",berlin corruption nazi background love of one's life chauffeur,en,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,"Warner Bros., Section Eight Productions, Sunset Gower Studios",108,The Good German,"George Clooney, Cate Blanchett, Tobey Maguire, Tony Curran, Leland Orser",Steven Soderbergh
"Drama, War",guerrilla river vietnam vietcong cambodia,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","United Artists, Zoetrope Studios",153,Apocalypse Now,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms",Francis Ford Coppola
"Romance, Comedy, Drama",male nudity sex san francisco waitress newspaper,en,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.","New Line Cinema, Offspring Entertainment",102,Going the Distance,"Drew Barrymore, Justin Long, Charlie Day, Jason Sudeikis, Christina Applegate",Nanette Burstein
Drama,confession airplane f word hangover airplane crash,en,"Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation.","Paramount Pictures, Parkes/MacDonald Productions, ImageMovers",138,Flight,"Denzel Washington, Don Cheadle, Bruce Greenwood, Kelly Reilly, John Goodman",Robert Zemeckis
"Science Fiction, Adventure, Thriller, Action",venice mass murder space marine space suit marcus square,en,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.,"United Artists, Eon Productions",126,Moonraker,"Roger Moore, Lois Chiles, Michael Lonsdale, Corinne Cléry, Richard Kiel",Lewis Gilbert
"Animation, Comedy, Family",jealousy toy boy friendship friends,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",Pixar Animation Studios,81,Toy Story,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",John Lasseter
Drama,ku klux klan american football trainer sports team race politics,en,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions.","Walt Disney Pictures, Jerry Bruckheimer Films, Technical Black, Run It Up Productions Inc.",113,Remember the Titans,"Denzel Washington, Will Patton, Ryan Hurst, Wood Harris, Hayden Panettiere",Boaz Yakin
"Adventure, Thriller, Action",submarine cold war russian defection jack ryan,en,"A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.","Paramount Pictures, Nina Saxon Film Design, Mace Neufeld Productions",134,The Hunt for Red October,"Alec Baldwin, Sean Connery, Scott Glenn, Sam Neill, James Earl, Jones",John McTiernan
"Thriller, Mystery, Crime",self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","New Line Cinema, Juno Pix, Cecchi Gori Pictures",127,Se7en,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C., McGinley Kevin, Spacey",David Fincher
Science Fiction,slum street gang mutation south africa johannesburg,en,"Aliens land in South Africa and, with their ship totally disabled,  have no way home. Years later, after living in a slum and wearing out their welcome the 'Non-Humans' are being moved to a new tent city overseen by Multi-National United (MNU).","WingNut Films, TriStar Pictures, Key Creatives, Block / Hanson, Canadian Film or Video Production Tax Credit (CPTC), The Department of Trade and Industry of South Africa, QED International, Province of British Columbia Production Services Tax Credit, District 9, New Zealand Post Digital and Visual Effects Grant",112,District 9,"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike, Elizabeth Mkandawie",Neill Blomkamp
Drama,transporter suicide attempt strong woman boxer dying and death,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions",132,Million Dollar Baby,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter",Clint Eastwood
"Romance, Drama",poem river sadness fight love of one's life,en,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",New Line Cinema,123,The Notebook,"Rachel McAdams, Ryan Gosling, Gena Rowlands, James Garner, Sam Shepard",Nick Cassavetes
"Romance, Comedy",lovesickness newspaper bar sister sister relationship new love,en,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,"Spyglass Entertainment, Fox 2000 Pictures, Dune Entertainment III",111,27 Dresses,"Katherine Heigl, James Marsden, Malin Åkerman, Judy Greer, Edward Burns",Anne Fletcher
"Romance, Comedy, Family, Drama, Music",double life pop star musical tennessee teenage girl,en,"When Miley Stewart (aka pop-star Hannah Montana) gets too caught up in the superstar celebrity lifestyle, her dad decides it's time for a total change of scenery. But sweet nibblets! Miley must trade in all the glitz and glamour of Hollywood for some ol' blue jeans on the family farm in Tennessee, and question if she can be both Miley Stewart and Hannah Montana. With a little help from her friends – and awesome guest stars Taylor Swift, Rascal Flatts and Vanessa Williams – will she figure out whether to choose Hannah or Miley?","Walt Disney Pictures, It's a Laugh Productions, Millar Gough Ink",102,Hannah Montana: The Movie,"Miley Cyrus, Billy Ray, Cyrus Emily, Osment Jason, Earles Taylor, Swift",Peter Chelsom
"Romance, Drama",suitcase business omaha on the road downsizing,en,"George Clooney plays the dry cynical character of Ryan Bingham, an executive who specializes in ""downsizing"". Ryan lives out of his suitcase, traveling the country for the sole purpose terminating unwanted employees day after day. Just as Ryan is about to reach his life-long goal of the ten million mile frequent flyer mark some major changes come his way. Changes that threaten to crack the cold heartless exterior that is Ryan Bingham.","Paramount Pictures, Rickshaw Productions, Cold Spring Pictures, Montecito Picture Company, The, DW Studios, Right of Way Films",109,Up in the Air,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman, Melanie Lynskey",Jason Reitman
"Science Fiction, Thriller, Action",suicide assassin drug addiction future time travel,en,"In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.","Endgame Entertainment, FilmDistrict, DMG Entertainment, Ram Bergman Productions",118,Looper,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano, Noah Segan",Rian Johnson
"Romance, Comedy, Drama",hawaii one-night stand beauty,en,"When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.","Universal Pictures, Apatow Productions",111,Forgetting Sarah Marshall,"Jason Segel, Kristen Bell, Mila Kunis, Russell Brand, Bill Hader",Nicholas Stoller
"Action, Crime",brother brother relationship robbery arbitrary law adoptive mother revenge,en,Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,"Paramount Pictures, Di Bonaventura Pictures",109,Four Brothers,"Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund, Terrence Howard",John Singleton
